plant_family,plant_genus,plant_species,insect_family,insect_genus,insect_species,location,host_plant_name,insect_name
Fabaceae,Prosopis,,Acrolophidae,Acrolophus,nr. cressoni,Mexico,Prosopis,Acrolophus nr. cressoni
Elaeocarpaceae,Elaeocarpus,,Roeslerstammiidae,Amphithera,heteroleuca,Australia,Elaeocarpus,Amphithera heteroleuca
Rosaceae,Fragaria,,Acrolophidae,Acrolophus,arcanella,USA,Fragaria,Acrolophus arcanella
Elaeocarpaceae,Elaeocarpus,,Roeslerstammiidae,Agriothera,,Japan,Elaeocarpus,Agriothera
Rhamnaceae,Ceanothus,thyrsiflorus,Acanthopteroctetidae,Acanthopteroctetes,unifascia,USA,Ceanothus thyrsiflorus,Acanthopteroctetes unifascia
Oleaceae,Ligustrum,,Adelidae,Adela,croesella,British Isles,Ligustrum,Adela croesella
Asteraceae,Parthenium,hysterophorus,Acrolophidae,Acrolophus,,Mexico,Parthenium hysterophorus,Acrolophus
Oleaceae,Ligustrum,,Adelidae,Adela,croesella,Palaearctic,Ligustrum,Adela croesella
Poaceae,Zea,,Acrolophidae,Acrolophus,arcanella,Nearctic,Zea,Acrolophus arcanella
Plantaginaceae,Veronica,,Adelidae,Adela,fibulella,British Isles,Veronica,Adela fibulella
Salicaceae,Salix,,Adelidae,Adela,cuprella,British Isles,Salix,Adela cuprella
Rosaceae,Holodiscus,discolor,Adelidae,Adela,septentrionella,USA,Holodiscus discolor,Adela septentrionella
Fabaceae,Trifolium,pratense,Acrolophidae,Acrolophus,popeanella,Nearctic,Trifolium pratense,Acrolophus popeanella
Plantaginaceae,Veronica,chamaedrys,Adelidae,Adela,fibulella,British Isles,Veronica chamaedrys,Adela fibulella
Salicaceae,Salix,caprea,Adelidae,Adela,cuprella,Palaearctic,Salix caprea,Adela cuprella
Betulaceae,Betula,,Acrolophidae,Acrolophus,morus,Nearctic,Betula,Acrolophus morus
Hypericaceae,Hypericum,,Adelidae,Adela,violella,Palaearctic,Hypericum,Adela violella
