species_name,common_name,status,category,extent,temporal_range,expected_obs,actual_obs,last_updated,taxonomic_rank,gbif_key,data_quality,color,notes,countries_observed,subregion,host_plants
Morpho,Blue Morpho,ingested,butterfly,"[-147.66, -69.41, 35.16, 52.37]",2015-01-01 to 2025-12-31,0.0,8815,2026-01-31,GENUS,,100.0,#0066FF,,,,
Caligo,Owl Butterflies,ingested,butterfly,"[-147.66, -69.41, 8.66, 52.37]",2015-01-01 to 2025-12-30,5315.0,5703,2026-01-31,GENUS,1918071,107.3,,,,,
Manataria hercyna,White-spotted Satyr,ingested,butterfly,"[-115.65, -40.80, -46.55, 31.37]",2015-01-14 to 2025-12-20,52.0,52,2026-01-31,SPECIES,1911933,100.0,,,,,
Papilio thoas,King Swallowtail,ingested,butterfly,"[-109.45, -38.89, 91.67, 32.47]",2015-01-07 to 2025-12-31,6247.0,6229,2026-01-31,SPECIES,1937885,99.7,,,,,
Siproeta stelenes,Malachite,ingested,butterfly,"[-115.65, -32.37, 8.81, 56.56]",2015-01-03 to 2025-12-31,10579.0,10517,2026-02-12,SPECIES,4299213,99.4,,,,,
Greta oto,Glasswing,ingested,butterfly,"[-85.47, 9.97, 12.57, 55.69]",2016-12-08 to 2024-05-06,58.0,56,2026-01-31,SPECIES,1895190,96.6,,,,,
Dryas iulia,Julia,ingested,butterfly,"[-120.76, -37.84, 105.36, 53.10]",2015-01-01 to 2025-12-31,15786.0,15499,2026-01-31,SPECIES,5128034,98.2,,,,,
Catopsilia florella,African migrant,ingested,butterfly,"[-85.35, -34.59, 63.43, 33.11]",2015-01-02 to 2025-12-29,7131.0,7089,2026-01-31,SPECIES,1919346,99.4,,,,,
Belenois aurota,Pioneer White,ingested,butterfly,"[-17.51, -34.41, 145.08, 37.05]",2015-01-02 to 2025-02-28,12726.0,9733,2026-02-13,SPECIES,1919181,76.5,,,"AE,AF,BF,BJ,BW,CF,EG,ET,GH,GM,GW,IL,IN,IQ,IR,JO,KE,LK,MG,MR,MW,NG,OM,PK,PS,SA,SN,SY,SZ,TD,TZ,UG,ZA,ZM,ZW",Sub-Saharan Africa,
Danaus chrysippus,Plain Tiger,ingested,butterfly,"[-147.66, -69.41, 176.08, 51.25]",2015-01-01 to 2025-03-23,39996.0,27825,2026-02-13,SPECIES,7642610,69.6,,,"AE,AL,AO,AU,AZ,BD,BF,BH,BJ,BT,BW,CC,CD,CF,CG,CI,CM,CN,CV,CY,DJ,DZ,EG,ER,ES,ET,FR,GA,GH,GM,GN,GR,GW,HK,HR,ID,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KM,KR,KW,KZ,LA,LK,LR,LS,LY,MA,MG,ML,MM,MO,MR,MU,MV,MW,MY,MZ,NC,NE,NF,NG,NP,NZ,OM,PG,PH,PK,PS,PT,QA,RE,RU,RW,SA,SD,SG,SH,SL,SN,SO,SS,ST,SY,SZ,TD,TG,TH,TJ,TL,TN,TR,TW,TZ,UG,UZ,VN,YE,YT,ZA,ZM,ZW",Sub-Saharan Africa,
Bicyclus anynana,Squinting Bush Brown,ingested,butterfly,"[-0.70, -32.73, 85.36, 24.01]",2015-02-03 to 2025-12-19,1095.0,1087,2026-02-13,SPECIES,9840414,99.3,,,"AO,BW,ET,MW,MZ,SZ,TZ,YE,ZA,ZM,ZW",Sub-Saharan Africa,
Papilio demodocus,Citrus Swallowtail,ingested,butterfly,"[-147.66, -69.41, 106.71, 54.08]",2015-01-01 to 2025-12-31,9245.0,9233,2026-02-13,SPECIES,1938125,99.9,,,"AO,AQ,BF,BI,BJ,BW,CD,CF,CG,CI,CM,CV,DE,DO,ER,ET,GA,GH,GM,GN,GW,IN,KE,KM,LR,LS,MG,ML,MR,MU,MW,MZ,NE,NG,NL,OM,RE,RW,SA,SD,SL,SN,SO,SS,ST,SZ,TD,TG,TZ,UG,VN,YT,ZA,ZM,ZW",Sub-Saharan Africa,
Junonia hierta,Yellow Pansy,ingested,butterfly,"[-16.70, -34.40, 110.39, 32.13]",2015-01-02 to 2025-03-21,0.0,1799,2026-01-31,SPECIES,5130542,100.0,,,,,
Cacyreus marshalli,Geranium Bronze,ingested,butterfly,"[-17.98, -34.83, 55.55, 58.33]",2015-01-02 to 2025-12-31,0.0,17328,2026-01-31,SPECIES,1932752,100.0,,,,,
Melanitis leda,Common Evening Brown,ingested,butterfly,"[-179.87, -34.53, 178.47, 52.36]",2015-01-01 to 2025-12-31,0.0,13475,2026-01-31,SPECIES,1895956,100.0,,,,,
Danaus plexippus,Monarch,ingested,butterfly,"[-159.77, 0.00, 0.00, 53.41]",2024-01-01 to 2026-01-13,0.0,99900,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Euptoieta claudia,Variegated Fritillary,ingested,butterfly,"[-123.70, 15.70, -64.13, 54.47]",2015-01-01 to 2025-12-31,0.0,42649,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Hesperia dacotae,Dakota Skipper,ingested,butterfly,"[-101.00, 46.89, -96.49, 50.80]",2015-07-01 to 2025-07-17,0.0,34,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
Hesperia ottoe,Ottoe Skipper,ingested,butterfly,"[-105.38, 35.81, -87.37, 47.63]",2015-07-13 to 2025-07-26,0.0,34,2026-01-31,SPECIES,,100.0,,Auto-added from existing GeoJSON file,,,
