scientific_name,common_name,family,occurrence_count
Alcides metaurus,,,668
Apatura ilia,,,33142
Bebearia sophus,,,32
Belenois aurota,Pioneer White,,9733
Bicyclus anynana,Squinting Bush Brown,,1087
Cacyreus marshalli,Geranium Bronze,,17328
Caligo,Owl Butterflies,,5703
Callophrys gryneus,Juniper Hairstreak,,459
Calycopis cecrops,Red-banded Hairstreak,,980
Catacroptera cloanthe,,,818
Catopsilia florella,African migrant,,7089
Celastrina,Azure,,3109
Chlosyne hoffmanni,,,861
Cupido,Tailed-blue,,44988
Danaus chrysippus,Plain Tiger,,27825
Danaus plexippus,Monarch,,99900
Dione moneta,,,5841
Dryas iulia,Julia,,15499
Eogenes alcides,,,34
Erebia cassioides,,,2734
Erynnis baptisiae,Wild Indigo Duskywing,,892
Eucyclodes gavissima,,,79
Euphaedra janetta,,,46
Euphaedra neophron,,,906
Euptoieta claudia,Variegated Fritillary,,42649
Euthalia formosana,,,147
Fabriciana adippe,,,31107
Greta oto,Glasswing,,56
Heliconius erato,,,6706
Hesperia dacotae,Dakota Skipper,,34
Hesperia ottoe,Ottoe Skipper,,34
Hypaurotis crysalus,Colorado Hairstreak,,321
Hypolimnas bolina,,,23878
Junonia coenia,Common Buckeye,,74300
Junonia hierta,Yellow Pansy,,1799
Lexias pardalis,,,3500
Lycaena alciphron,,,12105
Lycaena heteronea,Blue Copper,,29
Manataria hercyna,White-spotted Satyr,,52
Marpesia marcella,,,376
Marpesia zerynthia,,,719
Melanitis leda,Common Evening Brown,,13475
Morpho,Blue Morpho,,8815
Nymphalis antiopa,,,36098
Panacea regina,Queen Flasher,,25
Papilio demodocus,Citrus Swallowtail,,9233
Papilio maackii,,,1061
Papilio palinurus,,,117
Papilio polyxenes,Black Swallowtail,,84695
Papilio thoas,King Swallowtail,,6229
Papilio troilus,,,37254
Parthenos aspila,,,40
Parthenos sylvia,,,1914
Phocides pigmalion,,,359
Phoebis sennae,Cloudless Giant Sulphur,,30596
Pholisora catullus,Common Sootywing,,625
Phyciodes tharos,Pearl Crescent,,64322
Polyura jalysus,,,142
Satyrium calanus,Banded Hairstreak,,300
Siproeta stelenes,Malachite,,10517
Speyeria aphrodite,Aphrodite Fritillary,,4577
Speyeria callippe,Callippe Fritillary,,2185
Speyeria cybele,Great Spangled Fritillary,,36994
Speyeria idalia,Regal Fritillary,,879
Vanessa atalanta,Red Admiral,,91105
Vanessa cardui,Painted Lady,,55779
